"","g"
"801",NA
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",0.329235918743828
"812",0.301394805249569
"813",0.302887141792397
"814",0.298615754660736
"815",0.30154604095919
"816",0.311816300100252
"817",0.315552837607541
"818",0.312214965361577
"819",0.31156113222555
"820",0.316996089329778
"821",NA
"822",NA
"823",NA
"824",NA
"825",NA
"826",NA
"827",NA
"828",NA
"829",NA
"830",NA
"831",0.637662756694729
"832",0.641820676014206
"833",0.645077689131352
"834",0.649924311601296
"835",0.649361244611393
"836",0.648238142615439
"837",0.655104059437459
"838",0.664438972648725
"839",0.668614102468568
"840",0.670130834336742
"841",0.658744063239174
"842",0.657396715366532
"843",0.657386381680411
"844",0.661967276186047
"845",0.65566277328851
"846",0.658087079999208
"847",0.657060735153608
"848",0.659526026238984
"849",0.656015168343281
"850",0.655123683041505
"851",0.104091326101787
"852",0.108329265593277
"853",0.110840071965204
"854",0.10864064267742
"855",0.100270109264388
"856",0.10098402995194
"857",0.100539957337424
"858",0.105157240427839
"859",0.105896179072091
"860",0.107020395302216
"861",0.412302215046459
"862",0.378604176654006
"863",0.363108178233472
"864",0.376042793710389
"865",0.399101642110609
"866",0.404496413003139
"867",0.372023587718571
"868",0.339144409075334
"869",0.345145829514774
"870",0.379123754437185
"871",0.251185550749146
"872",0.251722868358217
"873",0.250605950623872
"874",0.24444426280352
"875",0.228343694259858
"876",0.220994411350289
"877",0.215113533248881
"878",0.219056083787171
"879",0.227723339439806
"880",0.236341235835019
"881",0.05162196826546
"882",0.054312785266427
"883",0.0557184389837392
"884",0.0545764515229462
"885",0.0507868048603615
"886",0.047738603658734
"887",0.0470536178861142
"888",0.0492100603968418
"889",0.0510887463575475
"890",0.0525652702505681
"891",0.38565731154128
"892",0.306614261779389
"893",0.295477923048361
"894",0.305772388898002
"895",0.358334475037513
"896",0.398484750711688
"897",0.376006298154286
"898",0.326893018489165
"899",0.306419641587774
"900",0.287834208601854
"901",0.457983893706997
"902",0.451582441205644
"903",0.455210588504178
"904",0.46414571102662
"905",0.467855682176796
"906",0.466117212239462
"907",0.460742635731095
"908",0.449767568761099
"909",0.455143572038676
"910",0.46372202911486
"911",0.0439835510041908
"912",0.0454329685940233
"913",0.0452686522063013
"914",0.0449379744161323
"915",0.0450667948155235
"916",0.0451983443012035
"917",0.0452278976184036
"918",0.0452096976078206
"919",0.0452923520124129
"920",0.045405509215341
"921",0.495722187312246
"922",0.487375864680652
"923",0.484405949504666
"924",0.484355287290936
"925",0.488950948960876
"926",0.489052075637169
"927",0.487109256544806
"928",0.488240427139846
"929",0.489722439872288
"930",0.488591361582672
"931",0.201540737384514
"932",0.201629580376445
"933",0.201461579828268
"934",0.201985999142133
"935",0.202410740944166
"936",0.202574472192948
"937",0.203496052702564
"938",0.204848104153932
"939",0.205706637570006
"940",0.205936713171452
"941",0.0414669469060317
"942",0.0406329688100146
"943",0.0414246151668303
"944",0.0423087086127809
"945",0.04092300359034
"946",0.0411308348034275
"947",0.0412977949551552
"948",0.0413331589368416
"949",0.0419082620245586
"950",0.0412453570075825
"951",0.0249911031972892
"952",0.0264279703865879
"953",0.0253927833680739
"954",0.0248431768627279
"955",0.026106965659192
"956",0.0274627444308111
"957",0.0296730732542483
"958",0.0311243797880512
"959",0.0279406004211825
"960",0.0252447303273105
"961",0.0439835510041908
"962",0.043641765299718
"963",0.0434939538592713
"964",0.0433116799764227
"965",0.0435083328281536
"966",0.0435048345748501
"967",0.0435417616786431
"968",0.0436023609742975
"969",0.0436957581439508
"970",0.0436237602658145
"971",0.0442957055628107
"972",0.0455875897558265
"973",0.045440609226642
"974",0.0453596754459222
"975",0.0448511372179932
"976",0.0458526359956995
"977",0.0455308106943465
"978",0.0452139501667667
"979",0.0446848805675347
"980",0.0455475140362481
