Unnamed: 0,mra_D1_min,mra_D1_max,mra_D1_mean,mra_D1_sd,mra_D1_range,mra_D1_zero,mra_D2_min,mra_D2_max,mra_D2_mean,mra_D2_sd,mra_D2_range,mra_D2_zero,mra_D3_min,mra_D3_max,mra_D3_mean,mra_D3_sd,mra_D3_range,mra_D3_zero
10,-0.0947400664690645,0.113400148076832,5.548850094281639e-22,0.0054738718228685,0.208140214545896,198,-0.129062119866782,0.157774837622139,-1.12509708202826e-20,0.0103444014688963,0.286836957488921,198,-0.16566922561065,0.132808816162552,1.06368227239358e-20,0.0186980589877364,0.298478041773202,198
11,-0.0756398103020676,0.0929920548125671,8.56867205647986e-22,0.0058263011960815,0.168631865114635,198,-0.140736329182178,0.211245251933403,4.20754513732296e-21,0.0118368040789577,0.351981581115582,198,-0.205975428166129,0.225413869695309,-1.13210389539526e-21,0.0208346388134469,0.431389297861438,198
12,-0.0641219282049943,0.0828595004726049,-4.38454742763478e-21,0.0058910193460805,0.146981428677599,0,-0.126863322204887,0.114482398168057,1.22970594205919e-21,0.0109134616714952,0.241345720372945,0,-0.187551330373154,0.246671219140037,3.11242329995758e-20,0.0211824124910872,0.434222549513191,0
13,-0.086882306751224,0.119837296037572,-2.29723374265468e-21,0.0061514113146508,0.206719602788796,0,-0.124619148033094,0.190880777270478,-1.44029837119695e-20,0.0120819575824247,0.315499925303572,0,-0.161758577631585,0.218285037651475,1.8979812336624102e-20,0.0206526183226534,0.380043615283059,0
14,-0.124501964171691,0.100593750732027,-3.68358844929355e-21,0.0062427790613495,0.225095714903718,198,-0.174748422120755,0.154887339763313,6.15703272489132e-21,0.0124342000613493,0.329635761884068,198,-0.263603315664486,0.179666372032411,5.26613814270241e-20,0.0230325158999867,0.443269687696897,198
15,-0.0618386290193666,0.0905692242866789,-4.67579159405091e-22,0.0057244828711705,0.152407853306046,0,-0.124024405444294,0.172346177095146,-2.8076958502106002e-21,0.0117526198477313,0.29637058253944,0,-0.167272629031147,0.288842139452575,-2.53691698422166e-22,0.0214955706026772,0.456114768483722,0
16,-0.0878640566633406,0.0717172095774036,-1.90067722973296e-21,0.005518303987993,0.159581266240744,0,-0.161260877626949,0.248305518399601,-2.0415296210292802e-21,0.0122566070267726,0.409566396026551,0,-0.225611209178621,0.229146050808444,5.541129741897821e-21,0.0220063531411674,0.454757259987065,0
17,-0.0598802699309458,0.0876022462606761,-1.37455972383025e-21,0.0054264519090829,0.147482516191622,0,-0.150102594846318,0.23178875920462,-9.74225519415285e-21,0.0113559239067254,0.381891354050938,0,-0.290377651775153,0.226512409501053,2.60689033677985e-21,0.0210626163180494,0.516890061276206,0
18,-0.0752336279358963,0.0941563946341177,-4.4067281225788004e-21,0.0055105763172671,0.169390022570014,0,-0.218398937217717,0.19817109939613,4.27936049856003e-21,0.0118510998202471,0.416570036613846,0,-0.186266396678882,0.27872462259376,-3.12148552311289e-20,0.0209075450383399,0.464991019272642,0
19,-0.0917576331606243,0.0849909656879569,-4.74314554133601e-21,0.0058623427965214,0.176748598848581,0,-0.177953842809075,0.161780653862451,1.2190266478233e-20,0.0118709820498443,0.339734496671526,0,-0.17105225695907,0.257638037812248,8.18216425618472e-21,0.0220294525284379,0.428690294771318,0
