"","g","zeros"
"378",0.149743426444431,0
"379",0.140016538499801,0
"380",0.134583895728338,0
"381",0.103204694968743,0
"382",0.107279637309995,0
"383",0.109449582971227,0
"384",0.106704486505546,0
"385",0.101200251712321,0
"386",0.108515113384459,0
"387",0.110998401700962,0
"388",0.116997525910794,0
"389",0.112032193371649,0
"390",0.107948416501623,0
"391",0.342623601581204,5472
"392",0.273701680751114,2592
"393",0.26816958629089,0
"394",0.273985490693516,1440
"395",0.314979284067518,4630
"396",0.361716083562416,6912
"397",0.33599121982021,5760
"398",0.281837526573104,2880
"399",0.271297222441945,0
"400",0.267605834381521,1145
"401",0.425891038857868,0
"402",0.428820375209862,0
"403",0.478633037561184,0
"404",0.49911709476217,0
"405",0.560331102878262,0
"406",0.57937139869894,0
"407",0.599699677494615,0
"408",0.577912139081269,0
"409",0.573282488703973,0
"410",0.537945500207595,0
"411",0.380036232073445,5472
"412",0.361625980795433,2592
"413",0.354873991462523,0
"414",0.354036840902442,1440
"415",0.362908194542599,4630
"416",0.370641410391377,6912
"417",0.355822311744542,5760
"418",0.333635527728536,2880
"419",0.343144526057018,0
"420",0.361300907571391,1145
"421",0.830923650852895,0
"422",0.799985089216654,0
"423",0.812127606951712,0
"424",0.748663779137381,0
"425",0.731408040350922,0
"426",0.722733698388518,0
"427",0.742568571438029,0
"428",0.750744572415321,0
"429",0.744208254772123,0
"430",0.728884679736052,0
"431",0.860069668543196,0
"432",0.827443022266553,0
"433",0.835247294703803,0
"434",0.746657152792541,0
"435",0.741909619337664,0
"436",0.733527409149573,0
"437",0.766816994478631,0
"438",0.779288735030433,0
"439",0.772186750636264,0
"440",0.735719712977743,0
"441",0.210877087223992,0
"442",0.204115132703567,0
"443",0.190946679286838,0
"444",0.56421398752899,0
"445",0.56421398752899,0
"446",0.56421398752899,0
"447",0.56421398752899,0
"448",0.56421398752899,0
"449",0.18821636551619,0
"450",0.185001403595089,0
"451",0.38202306062289,5472
"452",0.363866772659439,2592
"453",0.357196834304984,0
"454",0.356388688136206,1440
"455",0.364847645674663,4630
"456",0.37210647420633,6912
"457",0.357147493606161,5760
"458",0.33532384613097,2880
"459",0.345285709849007,0
"460",0.363816809875727,1145
"461",0.655266010458051,34321
"462",0.655266010458051,34321
"463",0.655266010458051,34321
"464",0.655266010458051,34321
"465",0.655266010458051,34321
"466",0.655266010458051,34321
"467",0.655266010458051,34321
"468",0.655266010458051,34321
"469",0.655266010458051,34321
"470",0.655266010458051,34321
"471",0.340314234339997,0
"472",0.339518576649856,0
"473",0.321396172384232,0
"474",0.316957864925993,0
"475",0.31495215317072,0
"476",0.330103927668103,0
"477",0.327104328007915,0
"478",0.311735832189493,0
"479",0.294098993426069,0
"480",0.305319385361166,0
"481",0.630021823314518,0
"482",0.630832224761346,0
"483",0.670792750039827,0
"484",0.696638795193044,0
"485",0.740120324111043,0
"486",0.737942369557537,0
"487",0.749168149150039,0
"488",0.735070257965771,0
"489",0.740157006966762,0
"490",0.742087293915008,0
"491",0.753983122189003,0
"492",0.770347745826511,0
"493",0.763024896835253,0
"494",0.78915478641182,0
"495",0.84525296570278,0
"496",0.850463329973172,0
"497",0.84533382553947,0
"498",0.833159676400814,0
"499",0.830515216875043,0
"500",0.809781814002459,0
"501",0.49283937134022,0
"502",0.490148216729954,0
"503",0.483239553552865,0
"504",0.46710860393512,0
"505",0.43854063669861,0
"506",0.4161492399612,0
"507",0.403320168292109,0
"508",0.423614327773697,0
"509",0.439241763273176,0
"510",0.456145388631959,0
"511",0.102880047709759,0
"512",0.107003107677419,0
"513",0.109178795634921,0
"514",0.106547779651702,0
"515",0.101306877723733,0
"516",0.108740458792149,0
"517",0.111153453359022,0
"518",0.116976045360928,0
"519",0.111864696467953,0
"520",0.107747346993821,0
"521",0.386412262896523,5472
"522",0.357820175780165,2592
"523",0.343508196649594,0
"524",0.345103849059014,1440
"525",0.362244476210646,4630
"526",0.372631366834279,6912
"527",0.350607021884401,5760
"528",0.321685359403758,2880
"529",0.328581233639011,0
"530",0.356324379972528,1145
"531",0.0160853693150411,0
"532",0.0160690896452816,0
"533",0.0164789836787045,0
"534",0.0165719054108378,0
"535",0.0164252535227023,0
"536",0.0163706347572854,0
"537",0.0163109380880581,0
"538",0.0157169068157019,0
"539",0.0146639002048656,0
"540",0.0144775696541102,0
"541",0.489285561504631,0
"542",0.475238633425619,0
"543",0.47522936669294,0
"544",0.476958871322002,0
"545",0.473236055782348,0
"546",0.466711013934375,0
"547",0.460594360317837,0
"548",0.462307311023118,0
"549",0.465056723739218,0
"550",0.461953016366491,0
"551",0.119165579478951,0
"552",0.1136816447746,0
"553",0.113535179714595,0
"554",0.11480314969529,0
"555",0.116515643412826,0
"556",0.114583546367136,0
"557",0.112718168363712,0
"558",0.113613515596484,0
"559",0.114832527605141,0
"560",0.116630901372412,0
"561",0.56421398752899,0
"562",0.56421398752899,0
"563",0.56421398752899,0
"564",0.56421398752899,0
"565",0.56421398752899,0
"566",0.56421398752899,0
"567",0.56421398752899,0
"568",0.56421398752899,0
"569",0.56421398752899,0
"570",0.56421398752899,0
"571",0.509580777498971,0
"572",0.504942001362665,0
"573",0.502441156904794,0
"574",0.501767561560893,0
"575",0.505034127490704,0
"576",0.504490689074359,0
"577",0.503139360243566,0
"578",0.504580645052338,0
"579",0.506370085155084,0
"580",0.504489339754611,0
"581",0.498142217884688,0
"582",0.498261644466181,0
"583",0.498385954629415,0
"584",0.500973478117698,0
"585",0.500710894158863,0
"586",0.500355125070886,0
"587",0.49969318919346,0
"588",0.5017342084017,0
"589",0.500389839004785,0
"590",0.499288905183687,0
"591",0.0261590419581458,0
"592",0.0262067762923435,0
"593",0.0262342544424009,0
"594",0.0263926805194922,0
"595",0.0264813028030563,0
"596",0.0265298482663569,0
"597",0.0265186343270725,0
"598",0.0266574543701481,0
"599",0.026764309391769,0
"600",0.0269450605437013,0
"601",0.0413306817401703,0
"602",0.0405397717909601,0
"603",0.0407471592528188,0
"604",0.0415406962557523,0
"605",0.0404334495162621,0
"606",0.0410302696650211,0
"607",0.0411942747777695,0
"608",0.0411709495097101,0
"609",0.0418462927908388,0
"610",0.0414539643026815,0
"611",0.0423139295944503,0
"612",0.0415543581062009,0
"613",0.0423905657579643,0
"614",0.0432387335350731,0
"615",0.0418053012079756,0
"616",0.0418359121681038,0
"617",0.0416712588762019,0
"618",0.0415363511593861,0
"619",0.0420781151963463,0
"620",0.0416728912039268,0
"621",0.0421511180721449,0
"622",0.041176227948327,0
"623",0.0417408044552868,0
"624",0.0425562635216591,0
"625",0.0413635951729754,0
"626",0.041795213061006,0
"627",0.041791625986323,0
"628",0.041593467309531,0
"629",0.0423664905902812,0
"630",0.042147765746716,0
"631",0.0387792242907577,0
"632",0.0402484872066337,0
"633",0.0421562985820635,0
"634",0.0438840164511824,0
"635",0.0396047894157899,0
"636",0.0427225914081328,0
"637",0.0433703586761008,0
"638",0.0442376796497563,0
"639",0.0421585832405418,0
"640",0.0404906488402193,0
"641",0.0458773561890656,0
"642",0.0477769387630779,0
"643",0.0492387687655405,0
"644",0.048477711172536,0
"645",0.0440099271508645,0
"646",0.0434475387323897,0
"647",0.0429465968807559,0
"648",0.0445186870741012,0
"649",0.0452339297287783,0
"650",0.0456996493349955,0
"651",0.00807217534566695,0
"652",0.00703719662430937,0
"653",0.00645480984350003,0
"654",0.00679612824677164,0
"655",0.00585170570194803,0
"656",0.00620105497608523,0
"657",0.00631775149922418,0
"658",0.00633199618801715,0
"659",0.00697248718659319,0
"660",0.00717936341373809,0
"661",0.00991826498987737,0
"662",0.00983258932145515,0
"663",0.00964806622971202,0
"664",0.00930713851899118,0
"665",0.00944509913762382,0
"666",0.00951841032541159,0
"667",0.00917707166811584,0
"668",0.00951592388597462,0
"669",0.00966980179736529,0
"670",0.00922516743874481,0
"671",0.0298874499958857,0
"672",0.0298373453041075,0
"673",0.0296206011365694,0
"674",0.0294010443519474,0
"675",0.0293334952588571,0
"676",0.0289203567493255,0
"677",0.028751726177397,0
"678",0.0288699567189028,0
"679",0.0294467148791906,0
"680",0.0299395316646064,0
"681",0.0324915655790432,0
"682",0.0319179338934836,0
"683",0.0314487373323075,0
"684",0.0312724631061808,0
"685",0.0314229286857005,0
"686",0.0313928013487293,0
"687",0.0314659420368206,0
"688",0.0315323714141378,0
"689",0.0316460611662558,0
"690",0.0318258419383869,0
"691",0.0405675854178882,0
"692",0.0406219555159525,0
"693",0.0406874098041412,0
"694",0.0406395544878209,0
"695",0.0406083086748795,0
"696",0.0405849385668017,0
"697",0.04056979263399,0
"698",0.0405134936245267,0
"699",0.0405333773825332,0
"700",0.0405899886712213,0
"701",0.0426485295737665,0
"702",0.0433700092811321,0
"703",0.0435560716530531,0
"704",0.0434700645121119,0
"705",0.0431542745116283,0
"706",0.0435711452351674,0
"707",0.0435931111226307,0
"708",0.0433180155677381,0
"709",0.0429617146440462,0
"710",0.0433013648152532,0
"711",0.364590153476283,483
"712",0.353226110618124,597
"713",0.344372139196529,165
"714",0.34668118255696,123
"715",0.34926183693509,39
"716",0.359197889287602,97
"717",0.37536886997602,306
"718",0.376359489053457,762
"719",0.353688903364642,571
"720",0.330470584509243,441
"721",0.949613777849359,0
"722",0.946262392556469,0
"723",0.952109744725869,0
"724",0.943522143578683,0
"725",0.957119100389917,0
"726",0.963709935780421,0
"727",0.965697688977154,0
"728",0.964844236254123,0
"729",0.959369276954894,0
"730",0.951999068041469,0
"731",0.500437866285516,0
"732",0.500437866285516,5
"733",0.500437866285516,0
"734",0.500437866285516,0
"735",0.500437866285516,0
"736",0.500437866285516,20
"737",0.500437866285516,5
"738",0.500437866285516,44
"739",0.500437866285516,14
"740",0.500437866285516,0
"741",0.640070328217263,142
"742",0.607129438079112,138
"743",0.558724248839357,51
"744",0.53184984669013,1
"745",0.534168932386965,0
"746",0.570655070683264,43
"747",0.56437931911043,112
"748",0.600744317648647,521
"749",0.537071869555373,43
"750",0.519287718948429,6
"751",0.500437866285516,148
"752",0.500437866285516,0
"753",0.500437866285516,0
"754",0.500437866285516,0
"755",0.500437866285516,0
"756",0.500437866285516,0
"757",0.500437866285516,0
"758",0.500437866285516,2
"759",0.500437866285516,0
"760",0.500437866285516,0
"761",0.500437866285516,2097
"762",0.500437866285516,699
"763",0.500437866285516,501
"764",0.500437866285516,398
"765",0.500437866285516,568
"766",0.500437866285516,763
"767",0.500437866285516,879
"768",0.500437866285516,901
"769",0.500437866285516,532
"770",0.500437866285516,399
"771",0.918816194948759,0
"772",0.911043230872229,0
"773",0.911381276174579,0
"774",0.914594196848948,0
"775",0.914927591293743,0
"776",0.916840514507025,0
"777",0.915478042367519,0
"778",0.915099798244732,0
"779",0.914503898345361,0
